| Pokemon      | Balls        | Bait         | Rock         | Cheaty bait  | Cheaty rock  |
| MAGIKARP     | 0.95161      | 0.81669      | 0.82065      | 0.80698      | 0.77878      |
| NIDORANF     | 0.87305      | 0.65855      | 0.62375      | 0.69397      | 0.56318      |
| NIDORANM     | 0.8721       | 0.65919      | 0.62007      | 0.69366      | 0.55945      |
| PARAS        | 0.82211      | 0.62202      | 0.62433      | 0.66389      | 0.56272      |
| VENONAT      | 0.82424      | 0.6214       | 0.62557      | 0.66272      | 0.5608       |
| PSYDUCK      | 0.8229       | 0.6184       | 0.6221       | 0.66486      | 0.56301      |
| POLIWAG      | 0.87105      | 0.69252      | 0.61985      | 0.72104      | 0.56279      |
| SLOWPOKE     | 0.82259      | 0.62498      | 0.62247      | 0.66494      | 0.55811      |
| DODUO        | 0.81998      | 0.62251      | 0.61951      | 0.66344      | 0.56258      |
| GOLDEEN      | 0.87092      | 0.66016      | 0.62567      | 0.69559      | 0.5611       |
| NIDORINO     | 0.5493       | 0.37135      | 0.4777       | 0.47622      | 0.41633      |
| NIDORINA     | 0.54967      | 0.37274      | 0.47932      | 0.47907      | 0.41512      |
| PARASECT     | 0.36209      | 0.31338      | 0.30328      | 0.42434      | 0.25878      |
| VENOMOTH     | 0.3582       | 0.31596      | 0.301        | 0.42447      | 0.25583      |
| EXEGGCUTE    | 0.49668      | 0.3131       | 0.41246      | 0.4229       | 0.35417      |
| RHYHORN      | 0.54991      | 0.37029      | 0.47914      | 0.48273      | 0.41578      |
| SEAKING      | 0.32276      | 0.31232      | 0.26202      | 0.42447      | 0.22164      |
| DRATINI      | 0.20042      | 0.2377       | 0.13511      | 0.36664      | 0.11134      |
| CHANSEY      | 0.10379      | 0.15899      | 0.0614       | 0.21745      | 0.04981      |
| KANGASKHAN   | 0.1662       | 0.15736      | 0.09584      | 0.21751      | 0.07594      |
| SCYTHER      | 0.16373      | 0.15765      | 0.09446      | 0.218        | 0.07774      |
| PINSIR       | 0.16552      | 0.15631      | 0.09652      | 0.21991      | 0.07639      |
| TAUROS       | 0.16461      | 0.15841      | 0.09659      | 0.21615      | 0.07812      |
| DRAGONAIR    | 0.16237      | 0.15733      | 0.09678      | 0.21831      | 0.07848      |
